beneficiary_profile_key;Sexo;Rango Edad;Grupo Etnico;Presenta Discapacidad;Zona Ubicacion Beneficiario;Tipo de Beneficiario;Pais Nacimiento
262;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑA O NIÑO DESDE LOS SIETE (7) MESES HASTA LOS DOS (2) AÑOS, ONCE (11) MESES Y VEINTINUEVE (29) DIAS;VENEZUELA
263;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;PERSONA GESTANTE;PERU
264;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ESPAÑA
265;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;FRANCIA
266;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;MENOR DE SEIS MESES;ARMENIA
267;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ESTADOS UNIDOS
268;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;SI;CABECERA;PERSONA GESTANTE;COLOMBIA
269;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;REINO UNIDO
270;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;AUSTRALIA
271;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;SI;CABECERA;PERSONA GESTANTE;VENEZUELA
272;H;6 MESES - 5 AÑOS;PALENQUERO (A);NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;COLOMBIA
273;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ITALIA
274;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;PERSONA GESTANTE;ECUADOR
275;H;0-6 MESES;INDÍGENA;NO;CABECERA;MENOR DE SEIS MESES;COLOMBIA
276;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑA O NIÑO HASTA LOS CUATRO (4) AÑOS, ONCE (11) MESES Y VEINTINUEVE (29) DIAS;VENEZUELA
277;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑA O NIÑO HASTA LOS CUATRO (4) AÑOS, ONCE (11) MESES Y VEINTINUEVE (29) DIAS;VENEZUELA
278;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;PORTUGAL
279;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;VANUATU
280;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;GEORGIA
281;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;MENOR DE SEIS MESES;ESTADOS UNIDOS
282;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;FRANCIA
283;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;PERU
284;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;PERSONA GESTANTE;NICARAGUA
285;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;PERSONA GESTANTE;VANUATU
286;M;14 - 17 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;RESTO;PERSONA GESTANTE;ARMENIA
287;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;PARAGUAY
288;H;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;EGIPTO
289;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ARUBA
290;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;MENOR DE SEIS MESES;AFGANISTAN
291;M;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;PERSONA GESTANTE;COLOMBIA
292;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;MENOR DE SEIS MESES;ANTARTIDA
293;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;MEXICO
294;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;PERSONA GESTANTE;ARMENIA
295;M;MAYOR A 18 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;PERSONA GESTANTE;TONGA
296;H;0-6 MESES;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ECUADOR
297;M;6 MESES - 5 AÑOS;NO SE AUTORRECONOCE EN NINGUNO DE LOS ANTERIORES;NO;CABECERA;NIÑO O NIÑA ENTRE 6 MESES Y 5 AÑOS Y 11 MESES;ARY MACEDONIA
