service_unit_key;Codigo Unidad Servicio;Unidad Servicio;Estado UDS
191;500100076148;CAPULLITOS EN ACCION;ACTIVA
192;500100076166;PEQUEÑOS TRAVIESOS 2;ACTIVA
193;520900058458;ESTIMULO FAMILIAR;ACTIVA
194;520900077343;CER LAS ANIMAS_CONCORDIA;ACTIVA
195;500100076176;RINTINTIN;ACTIVA
196;500100076190;MI DULCE HOGAR;ACTIVA
197;500100076195;LOS PATITOS;ACTIVA
198;500100076263;LOS PINOCHOS;ACTIVA
199;500100076453;LOS TRONQUITOS;ACTIVA
200;500100077423;HOGAR INFANTIL EL NIDO;ACTIVA
201;500100077965;LOS CARIÑOSITOS;ACTIVA
202;520900078989;CDI LUCERITO;ACTIVA
203;500100078375;BULLICIOSOS;ACTIVA
204;500100078398;LOS GIORDANOS;ACTIVA
205;500100078475;LOS TIGRITOS;ACTIVA
206;500100078566;BLANCA NIEVES;ACTIVA
207;520900101963;CER LA MARIA;ACTIVA
208;500100078597;MIS CHIQUITICOS;ACTIVA
209;500100078658;LOS RISUEÑITOS;ACTIVA
210;500100078660;LOS PICAPIEDRAS;ACTIVA
211;500100078664;LA FINQUITA;ACTIVA
212;500100078665;LOS PELUCHES;ACTIVA
213;500100078666;MIS PEQUEÑOS TRAVIESOS;ACTIVA
214;500100078669;NIÑOS INQUIETOS;ACTIVA
215;500100078675;LOS OSITOS;ACTIVA
216;500100078677;MUJERES LUCHADORAS;ACTIVA
217;52091113292;CDI NIÑOS DEL CAFE;ACTIVA
218;500100078678;ESTRELLITAS DE ORIENTE;ACTIVA
219;52091113295;CDI HELIODORO ANGEL ECHEVERRY;ACTIVA
220;500100079222;NIÑOS ALEGRES;ACTIVA
221;500100079237;EL BALCONCITO;ACTIVA
222;500100079360;HOGAR LOS TOPOLINOS;ACTIVA
223;500100079857;SONRISAS 2;ACTIVA
224;500100079903;HOGAR INFANTIL MARIONETAS;ACTIVA
225;500100080045;PEQUEÑINES;ACTIVA
226;500100080096;LOS PINGUINOS;ACTIVA
227;500100080255;LOS BEIBIS;ACTIVA
228;500100080260;LAS FLORECITAS;ACTIVA
229;500100080273;EL JARDINERITO;ACTIVA
230;500100080275;LOS SIMPSON;ACTIVA
231;500100080280;LOS CORAZONES;ACTIVA
232;500100080290;EL PINITO;ACTIVA
233;500100080292;LOS TULIPANES;ACTIVA
234;500100080297;MI LINDO JARDIN;ACTIVA
235;500100080299;CAPULLO DE ROSAS;ACTIVA
236;500100080301;MI DULCE HOGAR;ACTIVA
237;500100080617;RETOÑITOS INFANTILES;ACTIVA
238;500100080621;VOCESITAS INFANTILES;ACTIVA
239;500100080990;NUBESITAS AZULES;ACTIVA
240;500100081162;LOS ANGELITOS;ACTIVA
241;500100081167;BARNEY;ACTIVA
242;500100081170;LUCAS;ACTIVA
243;500100081180;CAMPANITAS;ACTIVA
244;500100081181;NIÑOS ALEGRES;ACTIVA
245;500100081185;POPEYE;ACTIVA
246;500100081190;EL BOSQUECITO;ACTIVA
247;500100081205;CARITAS ALEGRES 1;ACTIVA
248;500100081208;NUBE LUZ;ACTIVA
249;500100081211;LOS PEQUEÑOS CAMINANTES 2;ACTIVA
250;500100081229;RAYITO DE LUZ;ACTIVA
251;500100081333;MIS FUTURAS GACELITAS;ACTIVA
252;500100081393;MANITAS CREATIVAS 1;ACTIVA
253;500100082137;MI CARRUCEL;ACTIVA
254;500100082146;MIS PEQUEÑOS SABIOS;ACTIVA
255;500100082376;OSITOS CREATIVOS;ACTIVA
256;500100082494;GIORDANO N 1;ACTIVA
257;500100082508;NUEVO AMANECER;ACTIVA
258;500100082511;LOS SUPER AMIGOS;ACTIVA
259;500100082702;EL GUSANITO;ACTIVA
260;500100082798;LA FINQUITA;ACTIVA
261;500100082803;MANITAS TRAVIESAS;ACTIVA
262;500100082810;CARACOLITOS;ACTIVA
263;500100082822;EL BOSQUE;ACTIVA
264;500100082839;LOS TURPIALES;ACTIVA
265;500100082865;LA CAMPANITA;ACTIVA
266;500100082907;LA TERNURA;ACTIVA
267;500100083018;LOS CONEJINES;ACTIVA
268;500100083040;CONEJIN 2;ACTIVA
269;500100083050;EL AMPARO;ACTIVA
270;500100083763;CAPULLITO ANGELICAL;ACTIVA
271;500100084360;DESPERTAR;ACTIVA
272;500100084466;CIELITO;ACTIVA
273;500100084468;CARRUSEL;ACTIVA
274;500100084469;LOS PINGUINOS;ACTIVA
275;500100084471;CIELITO AZUL;ACTIVA
276;52091114026;LOS AMORECITOS;ACTIVA
277;500100084475;MIS PEQUEÑOS INFANTILES;ACTIVA
278;500100084479;MIS PEQUEÑOS CAMPEONES;ACTIVA
279;500100084511;LOS GANZOS;ACTIVA
280;151761128942;CHIQUINQUIRA N2;ACTIVA
281;500100084526;SALTARIN;ACTIVA
282;500100084734;LA ESPERANZA;ACTIVA
283;500100085450;HCB FAMI FUTURAS ESTRELLITAS;ACTIVA
