geography_key;Codigo Departamento UDS;Departamento UDS;Codigo Municipio UDS;Municipio UDS;Codigo CentroZonal UDS;Centro Zonal UDS
576;25;CUNDINAMARCA;25483;NARIÑO;2510;CZ GIRARDOT
577;25;CUNDINAMARCA;25486;NEMOCON;2502;CZ ZIPAQUIRA
578;25;CUNDINAMARCA;25488;NILO;2510;CZ GIRARDOT
579;25;CUNDINAMARCA;25489;NIMAIMA;2505;CZ VILLETA
580;25;CUNDINAMARCA;25491;NOCAIMA;2505;CZ VILLETA
581;25;CUNDINAMARCA;25506;VENECIA;2507;CZ FUSAGASUGA
582;25;CUNDINAMARCA;25513;PACHO;2504;CZ PACHO
583;25;CUNDINAMARCA;25518;PAIME;2504;CZ PACHO
584;25;CUNDINAMARCA;25524;PANDI;2507;CZ FUSAGASUGA
585;25;CUNDINAMARCA;25530;PARATEBUENO;2508;CZ CAQUEZA
586;25;CUNDINAMARCA;25535;PASCA;2507;CZ FUSAGASUGA
587;25;CUNDINAMARCA;25572;PUERTO SALGAR;2505;CZ VILLETA
588;25;CUNDINAMARCA;25580;PULI;2513;CZ SAN JUAN DE RIOSECO
589;25;CUNDINAMARCA;25592;QUEBRADANEGRA;2505;CZ VILLETA
590;25;CUNDINAMARCA;25594;QUETAME;2508;CZ CAQUEZA
591;25;CUNDINAMARCA;25596;QUIPILE;2511;CZ LA MESA
592;25;CUNDINAMARCA;25599;APULO;2511;CZ LA MESA
593;25;CUNDINAMARCA;25612;RICAURTE;2510;CZ GIRARDOT
594;25;CUNDINAMARCA;25645;SAN ANTONIO DEL TEQUENDAMA;2511;CZ LA MESA
595;25;CUNDINAMARCA;25649;SAN BERNARDO;2507;CZ FUSAGASUGA
596;25;CUNDINAMARCA;25653;SAN CAYETANO;2502;CZ ZIPAQUIRA
597;25;CUNDINAMARCA;25658;SAN FRANCISCO;2505;CZ VILLETA
598;25;CUNDINAMARCA;25662;SAN JUAN DE RIOSECO;2513;CZ SAN JUAN DE RIOSECO
599;25;CUNDINAMARCA;25718;SASAIMA;2505;CZ VILLETA
600;25;CUNDINAMARCA;25736;SESQUILE;2503;CZ CHOCONTA
601;25;CUNDINAMARCA;25740;SIBATE;2518;CZ SOACHA CENTRO
602;25;CUNDINAMARCA;25743;SILVANIA;2507;CZ FUSAGASUGA
603;25;CUNDINAMARCA;25745;SIMIJACA;2512;CZ UBATE
604;25;CUNDINAMARCA;25754;SOACHA;2501;CZ SOACHA
605;25;CUNDINAMARCA;25754;SOACHA;2518;CZ SOACHA CENTRO
606;25;CUNDINAMARCA;25758;SOPO;2502;CZ ZIPAQUIRA
607;25;CUNDINAMARCA;25769;SUBACHOQUE;2506;CZ FACATATIVA
608;25;CUNDINAMARCA;25772;SUESCA;2503;CZ CHOCONTA
609;25;CUNDINAMARCA;25777;SUPATA;2504;CZ PACHO
610;25;CUNDINAMARCA;25779;SUSA;2512;CZ UBATE
611;25;CUNDINAMARCA;25781;SUTATAUSA;2512;CZ UBATE
612;25;CUNDINAMARCA;25785;TABIO;2502;CZ ZIPAQUIRA
613;25;CUNDINAMARCA;25793;TAUSA;2512;CZ UBATE
614;25;CUNDINAMARCA;25797;TENA;2511;CZ LA MESA
615;25;CUNDINAMARCA;25799;TENJO;2502;CZ ZIPAQUIRA
616;25;CUNDINAMARCA;25805;TIBACUY;2507;CZ FUSAGASUGA
617;25;CUNDINAMARCA;25807;TIBIRITA;2503;CZ CHOCONTA
618;25;CUNDINAMARCA;25815;TOCAIMA;2510;CZ GIRARDOT
619;25;CUNDINAMARCA;25817;TOCANCIPA;2502;CZ ZIPAQUIRA
620;25;CUNDINAMARCA;25823;TOPAIPI;2504;CZ PACHO
621;25;CUNDINAMARCA;25839;UBALA;2509;CZ GACHETA
622;25;CUNDINAMARCA;25841;UBAQUE;2508;CZ CAQUEZA
623;25;CUNDINAMARCA;25843;VILLA DE SAN DIEGO DE UBATE;2512;CZ UBATE
624;25;CUNDINAMARCA;25845;UNE;2508;CZ CAQUEZA
625;25;CUNDINAMARCA;25851;ÚTICA;2505;CZ VILLETA
626;25;CUNDINAMARCA;25862;VERGARA;2505;CZ VILLETA
627;25;CUNDINAMARCA;25867;VIANI;2513;CZ SAN JUAN DE RIOSECO
628;25;CUNDINAMARCA;25871;VILLAGOMEZ;2504;CZ PACHO
629;25;CUNDINAMARCA;25873;VILLAPINZON;2503;CZ CHOCONTA
630;25;CUNDINAMARCA;25875;VILLETA;2505;CZ VILLETA
631;25;CUNDINAMARCA;25878;VIOTA;2510;CZ GIRARDOT
632;25;CUNDINAMARCA;25885;YACOPI;2504;CZ PACHO
633;25;CUNDINAMARCA;25898;ZIPACON;2506;CZ FACATATIVA
634;25;CUNDINAMARCA;25899;ZIPAQUIRA;2502;CZ ZIPAQUIRA
635;27;CHOCÓ;27025;ALTO BAUDO;2702;CZ ISTMINA
636;27;CHOCÓ;27075;BAHIA SOLANO;2703;CZ BAHIA SOLANO
637;27;CHOCÓ;27099;BOJAYA;2701;CZ QUIBDO
638;27;CHOCÓ;27160;CERTEGUI;2705;CZ TADO
639;27;CHOCÓ;27205;CONDOTO;2702;CZ ISTMINA
640;27;CHOCÓ;27245;EL CARMEN DE ATRATO;2701;CZ QUIBDO
641;27;CHOCÓ;27250;EL LITORAL DEL SAN JUAN;2702;CZ ISTMINA
642;27;CHOCÓ;27361;ISTMINA;2702;CZ ISTMINA
643;27;CHOCÓ;27372;JURADO;2703;CZ BAHIA SOLANO
644;27;CHOCÓ;27413;LLORO;2701;CZ QUIBDO
645;27;CHOCÓ;27425;MEDIO ATRATO;2701;CZ QUIBDO
646;27;CHOCÓ;27430;MEDIO BAUDO;2712;CZ BAUDÓ
647;27;CHOCÓ;27450;MEDIO SAN JUAN;2702;CZ ISTMINA
648;27;CHOCÓ;27491;NOVITA;2702;CZ ISTMINA
649;27;CHOCÓ;27493;NUEVO BELÉN DE BAJIRÁ;2704;CZ RIOSUCIO
650;27;CHOCÓ;27495;NUQUI;2703;CZ BAHIA SOLANO
651;27;CHOCÓ;27580;RIO IRO;2702;CZ ISTMINA
652;27;CHOCÓ;27600;RIO QUITO;2701;CZ QUIBDO
653;27;CHOCÓ;27615;RIOSUCIO;2704;CZ RIOSUCIO
654;27;CHOCÓ;27660;SAN JOSE DEL PALMAR;2705;CZ TADO
655;27;CHOCÓ;27745;SIPI;2702;CZ ISTMINA
656;27;CHOCÓ;27787;TADO;2705;CZ TADO
657;27;CHOCÓ;27800;UNGUIA;2704;CZ RIOSUCIO
658;27;CHOCÓ;27810;UNION PANAMERICANA;2705;CZ TADO
659;41;HUILA;41001;NEIVA;4101;CZ NEIVA
660;41;HUILA;41006;ACEVEDO;4104;CZ PITALITO
661;41;HUILA;41013;AGRADO;4102;CZ GARZON
662;41;HUILA;41016;AIPE;4101;CZ NEIVA
663;41;HUILA;41020;ALGECIRAS;4105;CZ LA GAITANA
664;41;HUILA;41026;ALTAMIRA;4102;CZ GARZON
665;41;HUILA;41078;BARAYA;4105;CZ LA GAITANA
666;41;HUILA;41132;CAMPOALEGRE;4105;CZ LA GAITANA
